OrderNumber,"Sales Channel",WarehouseCode,CurrencyCode,SalesTeamID,CustomerID,StoreID,ProductID,"Order Quantity","Discount Applied",ProcuredDate,OrderDate,ShipDate,DeliveryDate,"Unit Cost","Unit Price"
"SO - 000117",In-Store,WARE-PUJ1005,USD,9,10,320,6,3,0.08,2018-04-10,2018-06-01,2018-06-19,2018-06-27,904.84,1239.50
"SO - 000118",In-Store,WARE-XYS1001,USD,8,30,21,3,4,0.1,2018-04-10,2018-06-01,2018-06-06,2018-06-14,393.96,984.90
"SO - 000119",In-Store,WARE-MKL1006,USD,5,5,349,20,4,0.1,2018-04-10,2018-06-01,2018-06-07,2018-06-15,4130.01,5581.10
"SO - 000120",Online,WARE-NMK1003,USD,14,23,134,24,4,0.05,2017-12-31,2018-06-01,2018-06-11,2018-06-17,1795.33,3095.40
"SO - 000121",Wholesale,WARE-NMK1003,USD,25,46,193,33,4,0.4,2018-04-10,2018-06-01,2018-06-18,2018-06-20,1754.06,2278.00
"SO - 000122",In-Store,WARE-PUJ1005,USD,2,14,282,1,7,0.08,2018-04-10,2018-06-02,2018-06-10,2018-06-16,654.46,991.60
"SO - 000123",In-Store,WARE-XYS1001,USD,7,40,20,35,2,0.2,2018-04-10,2018-06-02,2018-06-26,2018-06-28,3064.45,3979.80
"SO - 000124",Distributor,WARE-UHY1004,USD,24,19,218,15,3,0.4,2017-12-31,2018-06-02,2018-06-22,2018-07-02,866.71,1969.80
"SO - 000125",In-Store,WARE-NMK1003,USD,4,15,173,13,1,0.15,2018-04-10,2018-06-02,2018-06-16,2018-06-24,131.32,268.00
"SO - 000126",Online,WARE-NMK1003,USD,18,46,110,24,7,0.1,2017-12-31,2018-06-02,2018-06-21,2018-07-01,95.81,174.20
"SO - 000127",In-Store,WARE-UHY1004,USD,7,32,229,46,3,0.08,2017-12-31,2018-06-02,2018-06-26,2018-07-06,2510.09,2988.20
"SO - 000128",In-Store,WARE-UHY1004,USD,9,32,238,36,4,0.05,2017-12-31,2018-06-02,2018-06-20,2018-06-29,2679.93,3999.90
"SO - 000129",Distributor,WARE-NMK1003,USD,20,22,97,37,3,0.05,2018-04-10,2018-06-02,2018-06-21,2018-06-22,2450.32,5976.40
"SO - 000130",In-Store,WARE-NMK1003,USD,8,5,103,32,5,0.1,2018-04-10,2018-06-02,2018-06-27,2018-06-29,2378.90,2901.10
"SO - 000131",In-Store,WARE-PUJ1005,USD,8,29,305,23,7,0.08,2018-04-10,2018-06-03,2018-06-26,2018-07-05,2734.61,6076.90
"SO - 000132",Online,WARE-PUJ1005,USD,13,35,303,14,7,0.2,2017-12-31,2018-06-03,2018-06-05,2018-06-10,4186.70,5735.20
"SO - 000133",Online,WARE-UHY1004,USD,19,46,217,7,3,0.1,2017-12-31,2018-06-03,2018-06-30,2018-07-10,2077.34,3919.50
"SO - 000134",Online,WARE-MKL1006,USD,17,42,362,46,1,0.05,2017-12-31,2018-06-03,2018-06-30,2018-07-05,3832.67,6083.60
"SO - 000135",Wholesale,WARE-MKL1006,USD,26,2,335,40,5,0.08,2018-04-10,2018-06-03,2018-06-14,2018-06-15,1642.30,2566.10
"SO - 000136",Distributor,WARE-NBV1002,USD,22,28,84,38,2,0.08,2017-12-31,2018-06-03,2018-06-07,2018-06-13,1093.44,2278.00
"SO - 000137",In-Store,WARE-UHY1004,USD,7,46,256,1,1,0.08,2017-12-31,2018-06-03,2018-06-14,2018-06-21,120.20,261.30
"SO - 000138",Online,WARE-MKL1006,USD,12,22,360,17,8,0.05,2017-12-31,2018-06-03,2018-06-28,2018-07-08,698.81,998.30
"SO - 000139",In-Store,WARE-NMK1003,USD,4,34,90,40,6,0.2,2017-12-31,2018-06-03,2018-06-13,2018-06-21,1958.54,3497.40
"SO - 000140",In-Store,WARE-NMK1003,USD,9,26,196,25,4,0.05,2017-12-31,2018-06-03,2018-06-18,2018-06-28,486.89,1132.30
"SO - 000141",In-Store,WARE-XYS1001,USD,7,26,40,2,7,0.05,2017-12-31,2018-06-03,2018-06-15,2018-06-17,1587.50,2405.30
"SO - 000142",Distributor,WARE-MKL1006,USD,24,24,367,3,8,0.05,2017-12-31,2018-06-03,2018-06-24,2018-07-03,3249.97,5701.70
"SO - 000143",Distributor,WARE-UHY1004,USD,25,18,249,34,1,0.2,2017-12-31,2018-06-04,2018-06-09,2018-06-16,1446.80,2452.20
"SO - 000144",In-Store,WARE-XYS1001,USD,11,21,6,11,3,0.05,2017-12-31,2018-06-04,2018-06-30,2018-07-04,2012.01,3095.40
"SO - 000145",Online,WARE-UHY1004,USD,15,14,212,8,4,0.4,2017-12-31,2018-06-04,2018-06-12,2018-06-14,2164.90,3865.90
"SO - 000146",Distributor,WARE-XYS1001,USD,23,3,37,11,8,0.1,2017-12-31,2018-06-04,2018-06-10,2018-06-15,1382.88,2304.80
"SO - 000147",Online,WARE-XYS1001,USD,17,13,38,35,3,0.05,2017-12-31,2018-06-04,2018-06-21,2018-06-24,1470.11,3195.90
"SO - 000148",Online,WARE-PUJ1005,USD,18,49,294,33,7,0.05,2017-12-31,2018-06-04,2018-06-19,2018-06-26,5161.68,6452.10
"SO - 000149",Distributor,WARE-NMK1003,USD,24,4,105,16,3,0.3,2017-12-31,2018-06-05,2018-06-14,2018-06-17,921.52,2003.30
"SO - 000150",Distributor,WARE-XYS1001,USD,23,20,17,8,8,0.05,2018-04-10,2018-06-05,2018-06-28,2018-07-07,1455.24,3638.10
"SO - 000151",In-Store,WARE-NMK1003,USD,4,19,109,44,3,0.08,2018-04-10,2018-06-05,2018-06-14,2018-06-17,1822.40,2278.00
"SO - 000152",Online,WARE-NMK1003,USD,16,25,141,22,6,0.3,2018-04-10,2018-06-05,2018-06-25,2018-06-29,582.50,924.60
"SO - 000153",Online,WARE-NMK1003,USD,19,8,111,16,5,0.05,2018-04-10,2018-06-05,2018-06-21,2018-07-01,3062.44,3926.20
"SO - 000154",Distributor,WARE-MKL1006,USD,23,24,349,25,4,0.08,2017-12-31,2018-06-05,2018-06-12,2018-06-18,2257.16,3825.70
"SO - 000155",Wholesale,WARE-MKL1006,USD,27,13,360,4,3,0.05,2017-12-31,2018-06-05,2018-07-03,2018-07-08,1377.32,2257.90
"SO - 000156",Distributor,WARE-NMK1003,USD,24,32,148,33,8,0.08,2017-12-31,2018-06-06,2018-07-02,2018-07-08,756.30,1112.20
"SO - 000157",Online,WARE-NMK1003,USD,19,28,103,45,8,0.05,2017-12-31,2018-06-06,2018-06-22,2018-06-23,1814.43,3557.70
"SO - 000158",Online,WARE-NBV1002,USD,13,8,59,45,3,0.4,2017-12-31,2018-06-06,2018-06-09,2018-06-12,1233.34,2371.80
"SO - 000159",Online,WARE-NBV1002,USD,14,47,60,1,1,0.4,2017-12-31,2018-06-06,2018-07-01,2018-07-04,686.08,857.60
"SO - 000160",In-Store,WARE-UHY1004,USD,11,33,238,20,5,0.3,2017-12-31,2018-06-07,2018-06-14,2018-06-16,2880.60,3892.70
"SO - 000161",In-Store,WARE-NMK1003,USD,3,26,151,21,6,0.08,2017-12-31,2018-06-07,2018-06-13,2018-06-15,1390.92,3477.30
"SO - 000162",Online,WARE-NMK1003,USD,13,20,152,44,5,0.1,2017-12-31,2018-06-07,2018-06-11,2018-06-21,2803.95,3738.60
"SO - 000163",Online,WARE-PUJ1005,USD,20,6,262,8,5,0.3,2018-04-10,2018-06-07,2018-06-10,2018-06-13,589.60,1072.00
"SO - 000164",In-Store,WARE-NMK1003,USD,5,40,120,46,7,0.05,2018-04-10,2018-06-07,2018-07-01,2018-07-02,1761.16,2257.90
"SO - 000165",Online,WARE-UHY1004,USD,18,23,233,46,3,0.1,2018-04-10,2018-06-07,2018-06-11,2018-06-13,751.61,1058.60
"SO - 000166",Online,WARE-NBV1002,USD,13,38,77,39,4,0.1,2018-04-10,2018-06-07,2018-06-15,2018-06-25,1296.05,2492.40
"SO - 000167",In-Store,WARE-NBV1002,USD,4,30,69,11,5,0.05,2018-04-10,2018-06-07,2018-06-13,2018-06-21,2465.60,3852.50
"SO - 000168",Distributor,WARE-UHY1004,USD,23,42,215,37,8,0.05,2017-12-31,2018-06-08,2018-06-19,2018-06-25,132.66,241.20
"SO - 000169",In-Store,WARE-XYS1001,USD,9,1,30,35,2,0.15,2017-12-31,2018-06-08,2018-06-11,2018-06-17,494.39,1051.90
"SO - 000170",Distributor,WARE-NMK1003,USD,25,11,169,10,5,0.3,2017-12-31,2018-06-08,2018-06-14,2018-06-19,107.07,227.80
"SO - 000171",Distributor,WARE-MKL1006,USD,24,4,333,14,5,0.05,2018-04-10,2018-06-08,2018-06-14,2018-06-15,506.99,1078.70
"SO - 000172",Wholesale,WARE-NMK1003,USD,28,6,96,10,8,0.15,2018-04-10,2018-06-08,2018-06-13,2018-06-20,743.70,1005.00
"SO - 000173",Distributor,WARE-PUJ1005,USD,24,17,289,45,5,0.05,2018-04-10,2018-06-08,2018-07-03,2018-07-09,1317.42,2485.70
"SO - 000174",In-Store,WARE-NMK1003,USD,3,7,140,22,3,0.05,2018-04-10,2018-06-08,2018-06-30,2018-07-06,2154.52,2659.90
"SO - 000175",In-Store,WARE-NMK1003,USD,1,1,107,1,1,0.08,2018-04-10,2018-06-09,2018-06-28,2018-07-03,1579.32,2224.40
"SO - 000176",In-Store,WARE-MKL1006,USD,11,27,338,35,7,0.2,2018-04-10,2018-06-09,2018-06-12,2018-06-16,1260.87,2472.30
"SO - 000177",In-Store,WARE-UHY1004,USD,5,33,232,15,5,0.05,2018-04-10,2018-06-09,2018-06-23,2018-06-24,799.24,1011.70
"SO - 000178",Wholesale,WARE-UHY1004,USD,26,28,231,28,6,0.2,2018-04-10,2018-06-09,2018-07-05,2018-07-13,128.98,234.50
"SO - 000179",Online,WARE-NMK1003,USD,13,42,158,11,4,0.08,2018-04-10,2018-06-09,2018-06-14,2018-06-17,143.72,261.30
"SO - 000180",Online,WARE-XYS1001,USD,18,5,36,29,7,0.1,2017-12-31,2018-06-09,2018-06-27,2018-07-01,2844.69,4006.60
"SO - 000181",In-Store,WARE-UHY1004,USD,3,10,206,28,7,0.05,2018-04-10,2018-06-09,2018-07-05,2018-07-13,866.65,1333.30
"SO - 000182",In-Store,WARE-UHY1004,USD,10,34,255,15,5,0.05,2018-04-10,2018-06-10,2018-07-07,2018-07-09,90.45,167.50
"SO - 000183",Online,WARE-MKL1006,USD,14,23,336,27,7,0.08,2018-04-10,2018-06-10,2018-06-28,2018-07-02,1821.66,3195.90
"SO - 000184",Online,WARE-PUJ1005,USD,20,18,307,15,1,0.05,2018-04-10,2018-06-10,2018-06-30,2018-07-05,809.96,1051.90
"SO - 000185",Online,WARE-XYS1001,USD,15,8,9,28,4,0.1,2017-12-31,2018-06-10,2018-06-30,2018-07-03,3540.62,5447.10
"SO - 000186",Online,WARE-NMK1003,USD,13,36,200,18,2,0.08,2018-04-10,2018-06-10,2018-06-16,2018-06-24,1973.15,3182.50
"SO - 000187",In-Store,WARE-MKL1006,USD,6,47,337,30,3,0.1,2017-12-31,2018-06-11,2018-06-29,2018-07-01,632.68,891.10
"SO - 000188",Online,WARE-NMK1003,USD,15,27,158,31,2,0.2,2017-12-31,2018-06-11,2018-06-16,2018-06-19,2724.89,3892.70
"SO - 000189",Online,WARE-UHY1004,USD,13,5,249,8,2,0.4,2017-12-31,2018-06-11,2018-06-13,2018-06-16,3360.05,3953.00
"SO - 000190",Online,WARE-NMK1003,USD,20,38,185,5,2,0.3,2017-12-31,2018-06-11,2018-06-28,2018-07-07,545.51,924.60
"SO - 000191",Online,WARE-NMK1003,USD,20,21,189,10,7,0.3,2018-04-10,2018-06-11,2018-07-07,2018-07-08,1989.63,3430.40
"SO - 000192",Distributor,WARE-NMK1003,USD,22,24,170,43,7,0.08,2018-04-10,2018-06-11,2018-06-28,2018-07-06,622.30,1152.40
"SO - 000193",Distributor,WARE-NMK1003,USD,21,25,130,37,4,0.1,2018-04-10,2018-06-11,2018-06-21,2018-06-24,922.59,1085.40
"SO - 000194",In-Store,WARE-NMK1003,USD,5,11,149,15,5,0.1,2017-12-31,2018-06-12,2018-06-16,2018-06-22,4025.36,5031.70
"SO - 000195",Distributor,WARE-NMK1003,USD,24,17,99,33,7,0.15,2018-04-10,2018-06-12,2018-06-28,2018-07-03,436.84,1092.10
"SO - 000196",Wholesale,WARE-XYS1001,USD,27,5,21,17,7,0.05,2017-12-31,2018-06-12,2018-06-25,2018-06-27,144.45,187.60
"SO - 000197",Online,WARE-NMK1003,USD,18,30,90,1,4,0.05,2017-12-31,2018-06-12,2018-07-09,2018-07-16,2835.17,3993.20
"SO - 000198",Online,WARE-MKL1006,USD,14,9,360,15,5,0.05,2017-12-31,2018-06-12,2018-06-15,2018-06-18,1433.93,2472.30
"SO - 000199",In-Store,WARE-XYS1001,USD,4,47,23,47,4,0.05,2018-04-10,2018-06-12,2018-07-05,2018-07-14,844.20,1206.00
"SO - 000200",Online,WARE-NMK1003,USD,20,5,144,40,5,0.05,2017-12-31,2018-06-12,2018-06-22,2018-06-29,985.30,1728.60
"SO - 000201",Wholesale,WARE-NMK1003,USD,28,23,134,23,7,0.08,2017-12-31,2018-06-12,2018-06-20,2018-06-29,1447.74,1983.20
"SO - 000202",Online,WARE-NMK1003,USD,20,14,180,11,2,0.2,2018-04-10,2018-06-12,2018-07-10,2018-07-14,2656.55,5313.10
"SO - 000203",Distributor,WARE-XYS1001,USD,20,44,58,23,5,0.08,2018-04-10,2018-06-12,2018-06-17,2018-06-25,566.15,871.00
"SO - 000204",Online,WARE-NMK1003,USD,12,38,175,43,2,0.1,2017-12-31,2018-06-13,2018-06-27,2018-07-01,2051.41,2532.60
"SO - 000205",Online,WARE-NMK1003,USD,14,14,95,1,4,0.08,2018-04-10,2018-06-13,2018-06-25,2018-06-26,4673.72,5916.10
"SO - 000206",Online,WARE-UHY1004,USD,13,34,231,31,1,0.08,2017-12-31,2018-06-13,2018-06-23,2018-07-01,1443.85,2887.70
"SO - 000207",In-Store,WARE-NMK1003,USD,1,13,199,11,7,0.1,2017-12-31,2018-06-13,2018-06-20,2018-06-22,1447.60,1855.90
"SO - 000208",In-Store,WARE-XYS1001,USD,2,5,58,39,5,0.1,2018-04-10,2018-06-13,2018-06-17,2018-06-19,135.01,207.70
"SO - 000209",In-Store,WARE-MKL1006,USD,2,2,345,3,3,0.05,2017-12-31,2018-06-13,2018-06-29,2018-07-06,772.78,1058.60
"SO - 000210",Online,WARE-UHY1004,USD,13,17,241,20,7,0.1,2018-04-10,2018-06-13,2018-07-03,2018-07-13,517.37,958.10
"SO - 000211",In-Store,WARE-NMK1003,USD,6,40,186,27,7,0.2,2018-04-10,2018-06-13,2018-07-08,2018-07-18,1675.74,2659.90
"SO - 000212",In-Store,WARE-NMK1003,USD,7,15,144,8,3,0.1,2017-12-31,2018-06-13,2018-07-05,2018-07-13,1707.63,2217.70
"SO - 000213",Online,WARE-XYS1001,USD,20,12,40,11,1,0.3,2017-12-31,2018-06-14,2018-06-17,2018-06-20,857.60,1715.20
"SO - 000214",In-Store,WARE-PUJ1005,USD,6,25,288,32,7,0.15,2018-04-10,2018-06-14,2018-07-06,2018-07-09,1691.15,3932.90
"SO - 000215",In-Store,WARE-NMK1003,USD,2,13,169,40,2,0.05,2017-12-31,2018-06-14,2018-06-19,2018-06-20,1909.50,2546.00
"SO - 000216",Online,WARE-PUJ1005,USD,15,18,277,21,1,0.08,2017-12-31,2018-06-14,2018-06-26,2018-07-01,603.00,837.50
"SO - 000217",Online,WARE-UHY1004,USD,16,3,219,12,3,0.15,2018-04-10,2018-06-14,2018-06-26,2018-07-05,1302.48,1809.00
"SO - 000218",Wholesale,WARE-PUJ1005,USD,26,25,306,11,8,0.08,2018-04-10,2018-06-14,2018-06-29,2018-07-03,514.56,857.60
"SO - 000219",In-Store,WARE-XYS1001,USD,8,11,7,22,6,0.05,2017-12-31,2018-06-14,2018-06-30,2018-07-07,1101.68,1748.70
"SO - 000220",Wholesale,WARE-NBV1002,USD,28,44,78,4,1,0.08,2017-12-31,2018-06-14,2018-06-16,2018-06-17,582.50,1266.30
"SO - 000221",In-Store,WARE-XYS1001,USD,3,30,28,9,5,0.1,2017-12-31,2018-06-14,2018-06-16,2018-06-22,3591.54,5058.50
"SO - 000222",Distributor,WARE-XYS1001,USD,22,38,39,6,7,0.05,2018-04-10,2018-06-14,2018-06-28,2018-07-06,795.22,958.10
"SO - 000223",Online,WARE-NMK1003,USD,19,47,122,2,8,0.15,2017-12-31,2018-06-14,2018-07-10,2018-07-14,756.97,1802.30
"SO - 000224",In-Store,WARE-XYS1001,USD,4,17,48,32,4,0.08,2018-04-10,2018-06-15,2018-07-07,2018-07-16,4534.56,6298.00
"SO - 000225",Online,WARE-XYS1001,USD,18,28,1,30,1,0.1,2017-12-31,2018-06-15,2018-07-02,2018-07-06,1824.34,2499.10
"SO - 000226",In-Store,WARE-NMK1003,USD,8,5,198,23,3,0.1,2018-04-10,2018-06-15,2018-06-19,2018-06-23,705.51,871.00
"SO - 000227",In-Store,WARE-UHY1004,USD,1,32,242,5,1,0.05,2017-12-31,2018-06-15,2018-07-12,2018-07-18,360.19,750.40
"SO - 000228",Wholesale,WARE-NMK1003,USD,27,21,200,14,8,0.08,2018-04-10,2018-06-15,2018-06-23,2018-06-27,504.11,763.80
"SO - 000229",In-Store,WARE-PUJ1005,USD,5,49,304,25,6,0.1,2017-12-31,2018-06-15,2018-06-26,2018-07-02,565.61,844.20
"SO - 000230",In-Store,WARE-XYS1001,USD,2,6,31,27,7,0.05,2018-04-10,2018-06-15,2018-07-05,2018-07-14,112.36,261.30
"SO - 000231",Online,WARE-NBV1002,USD,19,47,71,33,2,0.05,2017-12-31,2018-06-15,2018-07-06,2018-07-16,2359.94,3999.90
"SO - 000232",In-Store,WARE-UHY1004,USD,4,32,250,18,6,0.05,2017-12-31,2018-06-15,2018-06-25,2018-07-03,811.91,1112.20
"SO - 000233",In-Store,WARE-NMK1003,USD,10,18,167,2,2,0.08,2018-04-10,2018-06-15,2018-06-26,2018-07-04,1843.17,2633.10
"SO - 000234",Distributor,WARE-NMK1003,USD,22,8,132,4,6,0.2,2017-12-31,2018-06-15,2018-07-09,2018-07-13,631.41,1018.40
"SO - 000235",In-Store,WARE-XYS1001,USD,1,24,56,21,4,0.15,2018-04-10,2018-06-15,2018-06-27,2018-06-30,3444.74,5219.30
"SO - 000236",Distributor,WARE-UHY1004,USD,21,11,259,26,1,0.15,2018-04-10,2018-06-15,2018-07-13,2018-07-20,2359.94,3999.90
"SO - 000237",Online,WARE-MKL1006,USD,20,50,341,25,5,0.4,2018-04-10,2018-06-16,2018-06-27,2018-07-01,1084.80,1721.90
"SO - 000238",In-Store,WARE-NMK1003,USD,10,7,195,37,6,0.15,2017-12-31,2018-06-16,2018-07-05,2018-07-12,456.94,737.00
"SO - 000239",Online,WARE-XYS1001,USD,19,2,33,40,3,0.05,2018-04-10,2018-06-16,2018-07-07,2018-07-15,695.06,1219.40
"SO - 000240",In-Store,WARE-PUJ1005,USD,2,18,279,41,8,0.05,2017-12-31,2018-06-16,2018-07-12,2018-07-17,712.88,891.10
"SO - 000241",In-Store,WARE-NMK1003,USD,7,28,148,9,1,0.15,2018-04-10,2018-06-16,2018-07-14,2018-07-18,743.43,978.20
"SO - 000242",In-Store,WARE-NMK1003,USD,11,47,170,17,1,0.15,2018-04-10,2018-06-16,2018-07-01,2018-07-10,1657.45,3946.30
"SO - 000243",In-Store,WARE-NMK1003,USD,3,27,181,38,2,0.4,2018-04-10,2018-06-16,2018-07-05,2018-07-06,922.86,1299.80
"SO - 000244",Online,WARE-NBV1002,USD,19,21,77,12,4,0.05,2018-04-10,2018-06-17,2018-07-14,2018-07-24,2791.49,5815.60
"SO - 000245",In-Store,WARE-NMK1003,USD,3,43,122,23,6,0.15,2018-04-10,2018-06-17,2018-07-08,2018-07-10,655.26,1092.10
"SO - 000246",Distributor,WARE-XYS1001,USD,24,42,36,18,6,0.15,2018-04-10,2018-06-17,2018-07-10,2018-07-17,643.20,1072.00
"SO - 000247",Online,WARE-UHY1004,USD,17,34,217,16,5,0.05,2018-04-10,2018-06-17,2018-07-08,2018-07-09,2653.20,4020.00
"SO - 000248",Online,WARE-NBV1002,USD,20,37,63,12,4,0.15,2018-04-10,2018-06-17,2018-07-10,2018-07-15,669.73,984.90
"SO - 000249",Distributor,WARE-MKL1006,USD,21,50,341,7,7,0.05,2018-04-10,2018-06-17,2018-07-02,2018-07-04,100.23,227.80
"SO - 000250",In-Store,WARE-XYS1001,USD,3,17,36,35,3,0.15,2017-12-31,2018-06-17,2018-06-23,2018-06-26,3314.36,3993.20
"SO - 000251",Online,WARE-NMK1003,USD,12,25,163,26,4,0.08,2017-12-31,2018-06-17,2018-06-29,2018-07-08,185.72,221.10
"SO - 000252",Online,WARE-NMK1003,USD,12,21,101,43,6,0.08,2018-04-10,2018-06-18,2018-07-04,2018-07-14,2819.63,3356.70
"SO - 000253",In-Store,WARE-PUJ1005,USD,1,35,321,12,1,0.05,2017-12-31,2018-06-18,2018-07-09,2018-07-15,1157.22,1701.80
"SO - 000254",In-Store,WARE-PUJ1005,USD,3,9,276,8,3,0.15,2018-04-10,2018-06-18,2018-07-08,2018-07-09,2181.19,2566.10
"SO - 000255",In-Store,WARE-NMK1003,USD,6,22,101,5,4,0.05,2017-12-31,2018-06-18,2018-06-22,2018-06-26,126.03,221.10
"SO - 000256",In-Store,WARE-UHY1004,USD,5,28,248,4,1,0.1,2018-04-10,2018-06-18,2018-06-30,2018-07-05,980.21,1782.20
"SO - 000257",Distributor,WARE-NMK1003,USD,24,41,95,35,8,0.05,2017-12-31,2018-06-18,2018-07-15,2018-07-16,801.32,2003.30
"SO - 000258",Distributor,WARE-XYS1001,USD,20,28,33,5,5,0.08,2017-12-31,2018-06-18,2018-07-09,2018-07-16,1502.68,2385.20
"SO - 000259",Online,WARE-XYS1001,USD,13,22,12,21,1,0.1,2018-04-10,2018-06-18,2018-07-11,2018-07-17,1784.88,2231.10
"SO - 000260",In-Store,WARE-NMK1003,USD,10,26,119,35,1,0.05,2018-04-10,2018-06-18,2018-07-02,2018-07-07,412.05,1005.00
"SO - 000261",Distributor,WARE-PUJ1005,USD,23,12,290,40,7,0.05,2018-04-10,2018-06-18,2018-07-12,2018-07-19,1939.25,2693.40
"SO - 000262",Online,WARE-NMK1003,USD,17,31,110,36,4,0.08,2018-04-10,2018-06-18,2018-07-10,2018-07-11,652.25,1105.50
"SO - 000263",Online,WARE-NBV1002,USD,17,25,87,39,1,0.08,2018-04-10,2018-06-19,2018-07-10,2018-07-17,1088.42,1909.50
"SO - 000264",Distributor,WARE-NMK1003,USD,21,35,177,38,7,0.2,2018-04-10,2018-06-19,2018-06-21,2018-06-26,850.36,1118.90
"SO - 000265",In-Store,WARE-NMK1003,USD,11,45,94,8,7,0.2,2018-04-10,2018-06-19,2018-06-28,2018-07-03,758.11,1038.50
"SO - 000266",In-Store,WARE-NMK1003,USD,1,19,126,19,6,0.05,2017-12-31,2018-06-19,2018-06-28,2018-07-04,4300.86,6324.80
"SO - 000267",In-Store,WARE-XYS1001,USD,3,16,17,9,7,0.2,2017-12-31,2018-06-19,2018-06-27,2018-07-01,502.50,1005.00
"SO - 000268",In-Store,WARE-NMK1003,USD,3,15,178,2,5,0.08,2018-04-10,2018-06-19,2018-07-14,2018-07-17,659.48,1293.10
"SO - 000269",In-Store,WARE-NBV1002,USD,1,8,76,36,6,0.4,2018-04-10,2018-06-19,2018-07-16,2018-07-26,540.29,844.20
"SO - 000270",In-Store,WARE-PUJ1005,USD,6,27,318,1,4,0.05,2018-04-10,2018-06-19,2018-07-07,2018-07-14,195.84,247.90
"SO - 000271",Distributor,WARE-UHY1004,USD,21,12,217,21,7,0.3,2017-12-31,2018-06-19,2018-06-26,2018-06-28,139.36,174.20
"SO - 000272",In-Store,WARE-PUJ1005,USD,2,30,278,12,6,0.1,2018-04-10,2018-06-20,2018-07-11,2018-07-17,707.32,1025.10
"SO - 000273",Distributor,WARE-MKL1006,USD,21,19,341,23,3,0.15,2017-12-31,2018-06-20,2018-07-01,2018-07-06,2301.45,3068.60
"SO - 000274",Online,WARE-NMK1003,USD,16,44,122,3,2,0.08,2017-12-31,2018-06-20,2018-07-09,2018-07-11,115.78,241.20
"SO - 000275",In-Store,WARE-NMK1003,USD,11,24,200,47,1,0.2,2018-04-10,2018-06-20,2018-07-12,2018-07-17,139.36,174.20
"SO - 000276",In-Store,WARE-XYS1001,USD,3,10,30,37,2,0.2,2017-12-31,2018-06-20,2018-07-03,2018-07-13,1804.18,2505.80
"SO - 000277",Distributor,WARE-UHY1004,USD,25,35,233,31,7,0.15,2017-12-31,2018-06-20,2018-07-17,2018-07-20,1637.75,2599.60
"SO - 000278",Online,WARE-NMK1003,USD,18,38,151,28,6,0.15,2017-12-31,2018-06-20,2018-06-24,2018-06-28,1503.48,2278.00
"SO - 000279",Distributor,WARE-MKL1006,USD,24,31,353,25,2,0.08,2018-04-10,2018-06-21,2018-07-13,2018-07-21,589.73,1092.10
